Unnamed: 0,game_id,game_title,month,peak_users,picture_url
638686,275850,No Man's Sky,2018-07-01,96954,https://steamcdn-a.akamaihd.net/steam/apps/275850/logo.png
691254,252950,Rocket League,2018-07-01,82303,https://steamcdn-a.akamaihd.net/steam/apps/252950/logo.png
691679,346110,ARK: Survival Evolved,2018-07-01,70823,https://steamcdn-a.akamaihd.net/steam/apps/346110/logo.png
693051,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-06-01,1750216,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691853,570,Dota 2,2018-06-01,796886,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673312,730,Counter-Strike: Global Offensive,2018-06-01,420261,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
623447,391720,Layers of Fear,2018-06-01,143872,https://steamcdn-a.akamaihd.net/steam/apps/391720/logo.png
687295,359550,Tom Clancy's Rainbow Six Siege,2018-06-01,141630,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
611202,334210,Fortified,2018-06-01,135587,https://steamcdn-a.akamaihd.net/steam/apps/334210/logo.png
632439,230410,Warframe,2018-06-01,129002,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
663297,271590,Grand Theft Auto V,2018-06-01,118332,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
621052,813820,Realm Royale,2018-06-01,104557,https://steamcdn-a.akamaihd.net/steam/apps/813820/logo.png
627947,238960,Path of Exile,2018-06-01,95824,https://steamcdn-a.akamaihd.net/steam/apps/238960/logo.png
693052,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-05-01,2175704,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691854,570,Dota 2,2018-05-01,844713,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673313,730,Counter-Strike: Global Offensive,2018-05-01,454481,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
687296,359550,Tom Clancy's Rainbow Six Siege,2018-05-01,142362,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
591421,490220,Prismata,2018-05-01,121154,https://steamcdn-a.akamaihd.net/steam/apps/490220/logo.png
681986,209080,Guns of Icarus Online,2018-05-01,102258,https://steamcdn-a.akamaihd.net/steam/apps/209080/logo.png
